tol,OriSize,total_latency,load_time,transfer_time,comp_time,decomp_time
5e-05,1700,12.98818656420519,0.85,4.887870823318447,4.531699259898965,2.7186164809877775
5e-05,1800,13.74289006319052,0.9,5.175392636454826,4.791895742546193,2.8756016841895007
5e-05,1900,14.49658355446294,0.95,5.462914449591205,5.051401847894988,3.032267256976748
5e-05,2000,15.24927075722578,1.0,5.750436262727585,5.310220319964067,3.1886141745341265
5e-05,2100,16.0133567680079,1.05,6.037958075863964,5.583596606095138,3.3418020860487982
5e-05,2200,16.789771903674183,1.1,6.325479889000343,5.8726051947111735,3.491686819962667
5e-05,2300,17.567691174412115,1.15,6.613001702136722,6.163907756576045,3.6407817156993474
5e-05,2400,18.34714822811489,1.2,6.900523515273102,6.457531712748504,3.789093000093282
5e-05,2500,19.128177086179356,1.25,7.188045328409481,6.753504923073264,3.9366268346966096
5e-05,2600,19.91081215317128,1.3,7.47556714154586,7.051855694992967,4.083389316632454
5e-05,2700,20.69508822669045,1.35,7.763088954682239,7.352612792573341,4.22938647943487
5e-05,2800,21.481040507441925,1.4,8.050610767818618,7.65580544574763,4.3746242938756765
5e-05,2900,22.26870460951994,1.45,8.338132580954998,7.961463359786524,4.519108668778419
5e-05,3000,23.058116570911128,1.5,8.625654394091377,8.269616725000033,4.662845451819716
5e-05,3100,23.849312864223865,1.55,8.913176207227757,8.580296226677941,4.805840430318167
5e-05,3200,24.64233040765101,1.6,9.200698020364136,8.89353305527576,4.948099332011109
5e-05,3300,25.43720657617315,1.65,9.488219833500514,9.209358916853244,5.0896278258193925
5e-05,3400,26.233979213010095,1.7,9.775741646636893,9.527806043772799,5.230431522600406
5e-05,3500,27.03268664132825,1.75,10.063263459773275,9.848907205665409,5.3705159758895675
5e-05,3600,27.833367676212013,1.8,10.350785272909652,10.172695720671877,5.509886682630482
5e-05,3700,28.63606163690748,1.85,10.638307086046032,10.499205466967492,5.6485490838939585
5e-05,3800,29.440808359347013,1.9,10.92582889918241,10.828470894578494,5.786508565586107
5e-05,3900,30.247648208963465,1.95,11.21335071231879,11.160527037498996,5.923770459145678
0.0001,100,0.8591064532293538,0.05,0.2418839529344411,0.33035805458048656,0.23686444571442614
0.0001,200,1.577704892358793,0.1,0.4837679058688822,0.5960306461403292,0.3979063403495817
0.0001,300,2.2770608822384473,0.15,0.7256518588033232,0.8524972754851253,0.5489117479499988
0.0001,400,2.9919919805476396,0.2,0.9675358117377644,1.1198219396234097,0.7046342291864652
0.0001,500,3.6879382755554326,0.25,1.2094197646722054,1.3793407541213776,0.8491777567618496
0.0001,600,4.402861452353208,0.3,1.4513037176066463,1.6455884239504883,1.0059693107960732
0.0001,700,5.116541116424816,0.35,1.6931876705410875,1.9110137764649502,1.1623396694187782
0.0001,800,5.824807715271489,0.4,1.9350716234755287,2.1740061887638964,1.3157299030320635
0.0001,900,6.527778936703495,0.45,2.1769555764099695,2.4345989594388637,1.4662244008546614
0.0001,1000,7.225568707189256,0.5,2.4188395293444107,2.6928247821833184,1.613904395661526
0.0001,1100,7.936528311839924,0.55,2.660723482278852,2.955866921287251,1.7699379082738207
0.0001,1200,8.651733150226299,0.6,2.9026074352132927,3.2202641176813245,1.9288615973316814
0.0001,1300,9.365905270864946,0.65,3.1444913881477343,3.483954162214383,2.087459720502827
0.0001,1400,10.07904850636183,0.7,3.386375341082175,3.7469398881005676,2.245733277179086
0.0001,1500,10.791166670121747,0.75,3.628259294016616,4.009224113439119,2.4036832626660116
0.0001,1600,11.50226355646985,0.8,3.8701432469510575,4.270809641315044,2.561310668203751
0.0001,1700,12.212342940772238,0.85,4.112027199885498,4.531699259898965,2.7186164809877775
0.0001,1800,12.921408579555633,0.9,4.353911152819939,4.791895742546193,2.8756016841895007
0.0001,1900,13.629464210626118,0.95,4.59579510575438,5.051401847894988,3.032267256976748
0.0001,2000,14.336513553187014,1.0,4.837679058688821,5.310220319964067,3.1886141745341265
0.0001,2100,15.054961703767198,1.05,5.079563011623263,5.583596606095138,3.3418020860487982
0.0001,2200,15.785738979231542,1.1,5.321446964557704,5.8726051947111735,3.491686819962667
0.0001,2300,16.518020389767536,1.15,5.563330917492145,6.163907756576045,3.6407817156993474
0.0001,2400,17.25183958326837,1.2,5.805214870426585,6.457531712748504,3.789093000093282
0.0001,2500,17.987230581130902,1.25,6.0470988233610266,6.753504923073264,3.9366268346966096
0.0001,2600,18.72422778792089,1.3,6.288982776295469,7.051855694992967,4.083389316632454
0.0001,2700,19.46286600123812,1.35,6.530866729229909,7.352612792573341,4.22938647943487
0.0001,2800,20.203180421787657,1.4,6.77275068216435,7.65580544574763,4.3746242938756765
0.0001,2900,20.945206663663733,1.45,7.014634635098791,7.961463359786524,4.519108668778419
0.0001,3000,21.68898076485298,1.5,7.256518588033232,8.269616725000033,4.662845451819716
0.0001,3100,22.434539197963783,1.55,7.498402540967673,8.580296226677941,4.805840430318167
0.0001,3200,23.181918881188984,1.6,7.740286493902115,8.89353305527576,4.948099332011109
0.0001,3300,23.931157189509193,1.65,7.982170446836555,9.209358916853244,5.0896278258193925
0.0001,3400,24.6822919661442,1.7,8.224054399770996,9.527806043772799,5.230431522600406
0.0001,3500,25.435361534260416,1.75,8.465938352705438,9.848907205665409,5.3705159758895675
0.0001,3600,26.19040470894224,1.8,8.707822305639878,10.172695720671877,5.509886682630482
0.0001,3700,26.947460809435768,1.85,8.949706258574318,10.499205466967492,5.6485490838939585
